trust_level,brand,gender_all,male,female,age_all,18-24,25-34,35-44,45-54,55-64,65+,ageXgender_all,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,M 65+,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,F65+,state_all,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,region_all,Northeast,Midwest,South,West,income_all,"Under $5,000 per year","$5,000 to $9,999 per year","$10,000 to $14,999 per year","$15,000 to $19,999 per year","$20,000 to $24,999 per year","$25,000 to $29,999 per year","$30,000 to $34,999 per year","$35,000 to $39,999 per year","$40,000 to $44,999 per year","$45,000 to $49,999 per year","$50,000 to $54,999 per year","$55,000 to $59,999 per year","$60,000 to $69,999 per year","$70,000 to $79,999 per year","$80,000 to $99,999 per year","$100,000 to $149,999 per year","$150,000 and over",Don’t know,Prefer not to answer,segA_all,News Lovers,Daily Briefers,Casual Users,segB_all,Digitalist,Traditionalist,Half and Half,segC_all,Positive participator,Reactive participator,Passive consumer,segD_all,Engaged public,Not Engaged public
Trust in Brands (6-10),Buzzfeed News,734,364,371,734,93,159,161,102,142,77,734,49,77,77,59,73,29,43,83,84,43,69,49,734,13,2,11,4,92,16,5,1,6,51,20,2,1,33,13,5,6,12,5,,16,14,28,7,5,14,3,3,4,2,16,4,76,18,2,28,6,12,41,,13,,12,59,2,2,22,13,3,13,,734,155,153,265,162,734,44,23,45,37,32,34,31,29,27,36,40,17,38,41,56,64,50,25,64,734,248,259,228,717,244,158,316,734,301,182,252,734,123,611
Trust in Brands (6-10),NPR News,976,526,450,976,116,188,189,144,209,130,976,65,94,104,90,108,65,52,94,85,54,101,65,976,18,4,20,5,132,24,10,3,8,59,29,1,6,41,19,13,7,17,7,1,18,20,31,21,8,16,7,5,8,4,21,5,74,19,2,44,7,19,43,2,13,1,18,68,6,1,24,19,2,23,2,976,175,223,323,254,976,36,32,33,48,49,42,50,43,36,50,58,28,45,66,79,90,69,23,99,976,346,363,267,955,374,209,371,976,364,251,361,976,194,782
Trust in Brands (6-10),Breitbart,455,272,184,455,37,98,87,58,89,85,455,22,57,52,40,53,48,15,41,35,18,36,38,455,9,1,14,5,59,10,2,3,3,40,9,,8,17,7,6,3,15,5,,3,7,6,3,5,15,2,2,5,,7,5,33,10,,11,4,3,23,1,4,1,9,38,3,,15,13,,11,,455,73,83,176,123,455,28,10,16,21,14,16,22,25,21,23,26,14,20,31,36,46,24,11,51,455,153,164,138,439,98,143,197,455,214,116,124,455,85,371
Trust in Brands (6-10),Wall Street Journal,1319,651,668,1319,135,238,230,207,290,218,1319,65,112,116,112,151,95,70,126,114,95,140,123,1319,26,3,35,11,159,32,13,5,9,92,41,1,9,57,30,13,8,24,9,4,27,23,43,16,10,31,8,7,8,5,31,9,95,33,2,56,7,22,66,5,17,,20,103,10,2,30,21,3,26,1,1319,244,288,468,319,1319,56,39,56,67,72,53,61,51,47,62,84,38,56,84,108,126,79,43,137,1319,401,508,410,1283,401,348,534,1319,471,335,513,1319,216,1103
Trust in Brands (6-10),Vice News,529,313,216,529,84,147,119,70,73,37,529,56,77,67,49,45,20,28,70,52,21,28,17,529,16,3,11,2,79,14,4,1,3,35,9,1,,22,10,9,4,13,7,,14,6,16,4,8,11,2,,4,,12,3,46,12,1,11,3,9,30,1,6,,8,35,3,,20,14,1,5,,529,101,93,193,142,529,36,23,25,24,29,23,26,20,21,28,20,12,15,25,51,44,41,18,49,529,181,186,162,517,185,116,216,529,229,140,160,529,95,435
Distrust in Brands (0-4),Fox News,943,483,461,943,109,184,174,121,206,150,943,60,91,89,69,104,70,49,93,85,52,102,80,943,18,5,24,4,119,21,11,1,8,57,24,1,6,40,24,19,7,17,10,,17,20,36,16,2,14,5,6,11,5,16,6,64,16,2,40,7,18,50,4,11,1,9,70,8,1,25,25,2,16,2,943,171,222,299,252,943,32,28,39,50,50,42,47,38,41,37,57,25,42,54,67,84,57,39,115,943,303,329,311,901,360,184,357,943,316,230,398,943,176,768
Distrust in Brands (0-4),CNN,767,427,340,767,59,129,120,98,164,197,767,34,69,77,57,88,103,25,61,43,41,75,95,767,14,3,33,9,79,18,8,3,5,66,20,,13,25,19,12,6,23,7,4,12,11,13,8,3,20,2,2,14,6,14,4,35,17,,31,8,5,36,3,9,1,19,65,5,,22,14,5,18,,767,117,152,307,192,767,20,17,29,34,40,31,28,42,35,19,48,25,43,47,56,79,36,15,124,767,204,273,291,724,177,225,322,767,267,182,318,767,126,641
Distrust in Brands (0-4),NBC/MSNBC News,664,386,277,664,41,99,111,89,154,170,664,26,50,76,54,90,91,15,50,35,35,64,79,664,11,3,31,8,71,18,8,2,5,62,20,,6,20,12,10,6,21,7,2,8,8,11,7,2,17,2,2,9,5,13,3,36,15,,28,6,5,30,2,7,1,17,52,5,,22,12,5,15,,664,102,128,268,165,664,19,12,23,27,35,21,19,35,30,16,44,21,36,46,51,69,29,16,115,664,199,237,227,625,150,198,278,664,238,166,259,664,120,543
Distrust in Brands (0-4),ABC News,573,341,232,573,30,93,92,74,135,149,573,20,51,63,44,78,84,10,42,28,29,57,65,573,12,2,29,4,58,15,7,2,4,56,17,,10,18,14,10,5,17,6,2,12,5,10,6,2,15,2,1,10,5,10,3,25,10,,22,6,4,25,1,7,1,11,41,4,,20,11,4,12,,573,80,114,231,148,573,14,13,19,20,27,26,15,31,26,12,39,21,28,42,41,57,31,11,100,573,177,198,198,538,124,167,247,573,210,135,228,573,112,461
Distrust in Brands (0-4),CBS News,583,354,229,583,34,85,100,78,136,150,583,22,49,69,46,81,86,11,36,31,32,55,64,583,11,2,30,5,64,18,7,2,5,55,16,,11,18,9,10,7,14,5,3,9,7,13,7,3,15,2,1,7,5,10,2,27,9,,22,7,4,24,2,7,1,12,47,5,1,17,11,2,12,,583,87,114,226,155,583,15,10,19,22,28,19,16,31,29,11,39,20,31,41,50,60,27,13,102,583,174,207,202,545,127,175,244,583,222,134,227,583,114,468
Distrust in Brands (0-4),Yahoo! News,603,327,276,603,53,113,94,84,135,124,603,29,58,61,46,72,61,24,55,33,38,64,63,603,11,3,27,6,71,13,7,1,5,38,14,,11,18,14,9,6,19,2,1,13,10,12,6,1,16,3,1,7,4,10,2,34,9,,20,8,7,30,3,6,,12,48,9,,20,15,3,18,,603,98,120,217,168,603,12,16,22,24,32,30,26,30,20,24,36,18,27,37,44,59,27,16,102,603,179,222,201,565,160,173,231,603,194,150,259,603,116,487
Distrust in Brands (0-4),Local television news,333,189,144,333,26,75,63,43,65,61,333,13,39,41,27,39,29,12,35,22,16,26,33,333,9,1,15,,51,7,6,1,3,32,4,1,3,8,3,6,1,10,1,,9,6,6,7,2,6,1,,6,2,6,,19,4,,9,4,5,13,1,6,,7,22,6,,11,8,1,5,,333,52,53,124,104,333,16,10,9,12,13,13,9,14,10,4,22,9,21,22,28,35,24,9,55,333,95,101,136,309,98,84,127,333,128,71,134,333,57,276
Distrust in Brands (0-4),New York Times,649,374,276,649,41,99,97,86,161,165,649,27,50,71,48,89,89,14,50,26,38,72,75,649,13,3,25,7,70,19,8,1,6,57,20,,12,20,14,8,6,20,5,2,12,8,13,7,3,14,1,2,8,4,13,5,30,13,,22,8,6,30,2,6,1,15,53,7,1,22,13,3,17,,649,97,122,263,168,649,18,17,19,24,30,25,22,31,29,15,40,22,40,43,42,71,27,13,121,649,186,234,229,608,129,212,268,649,234,147,268,649,115,534
Distrust in Brands (0-4),Washington Post,585,344,241,585,35,106,96,73,129,146,585,21,63,66,39,77,77,14,43,30,34,51,69,585,13,3,21,4,68,14,7,2,5,48,14,,5,17,10,8,5,15,3,2,11,6,12,7,2,16,2,3,7,4,12,5,24,11,,22,5,9,27,3,7,1,12,56,6,,22,11,3,17,,585,85,117,233,151,585,17,11,17,28,32,21,25,30,25,12,36,19,34,33,39,57,32,12,106,585,166,195,224,545,123,180,243,585,220,128,237,585,100,485
Distrust in Brands (0-4),HuffPost (Huffington Post),685,401,284,685,48,122,114,102,145,154,685,27,64,81,61,83,86,21,57,33,41,63,68,685,13,3,31,8,83,18,8,2,5,58,14,,9,30,11,12,6,18,5,2,10,11,13,6,2,14,2,3,10,6,10,5,32,11,,28,8,8,28,3,9,1,12,57,6,,22,17,3,13,,685,100,137,256,192,685,20,15,23,33,31,26,25,44,25,13,39,19,32,46,48,74,37,16,116,685,208,237,241,645,176,195,274,685,235,163,287,685,128,557
Distrust in Brands (0-4),Buzzfeed News,680,370,310,680,85,142,122,92,132,108,680,43,69,81,53,71,54,42,73,41,39,61,54,680,11,4,28,8,81,24,6,4,3,45,20,,9,24,17,12,3,17,5,1,11,13,13,10,2,11,5,3,9,4,11,5,29,11,,27,9,8,31,4,6,1,12,56,12,,21,15,2,17,,680,99,140,243,199,680,22,18,19,32,35,36,24,37,27,16,43,21,27,47,49,67,35,25,100,680,185,241,254,638,196,185,257,680,225,156,299,680,117,564
Distrust in Brands (0-4),NPR News,502,312,190,502,29,96,78,66,117,116,502,18,54,56,40,75,69,11,42,23,26,41,47,502,9,2,22,5,48,16,5,1,4,49,13,,8,15,15,8,5,13,3,2,11,6,9,5,1,13,2,2,8,4,7,5,28,7,,15,7,8,27,1,3,1,9,38,4,,17,10,2,10,,502,79,98,193,131,502,17,11,13,20,26,20,17,24,23,16,30,16,25,30,36,52,26,14,87,502,162,169,170,468,105,155,208,502,194,109,198,502,100,402
Distrust in Brands (0-4),Breitbart,931,516,415,931,98,162,164,137,207,164,931,63,79,93,83,115,84,35,83,71,54,92,80,931,15,4,29,7,114,26,11,1,8,67,27,1,4,39,28,14,7,19,6,,18,19,32,18,4,10,4,5,11,5,19,3,65,16,1,43,8,20,46,3,9,1,13,57,5,1,27,21,3,15,1,931,169,213,307,243,931,27,24,35,45,41,42,46,38,34,39,53,30,42,64,72,90,62,29,116,931,334,331,266,895,341,193,360,931,328,225,378,931,201,731
Distrust in Brands (0-4),Wall Street Journal,447,269,178,447,45,86,92,48,85,92,447,34,43,64,30,44,53,10,43,28,17,40,39,447,8,2,18,2,57,10,5,,3,37,9,,3,13,9,7,4,14,6,,6,7,8,5,1,8,,,6,3,12,,22,9,,15,6,3,28,1,9,,12,39,3,2,13,11,2,10,,447,80,78,176,112,447,20,14,24,20,26,25,16,26,19,10,24,12,27,25,21,30,21,14,74,447,127,135,185,415,100,123,192,447,152,92,202,447,68,378
Distrust in Brands (0-4),Vice News,409,229,180,409,41,94,84,51,79,61,409,19,45,59,28,47,31,22,49,25,23,31,29,409,7,,11,7,48,8,3,,3,27,12,,7,18,11,3,3,11,2,,9,8,6,9,,5,2,3,4,2,8,1,24,7,,13,4,6,28,1,4,,4,40,1,1,16,9,2,11,,409,74,82,154,98,409,16,12,16,22,21,22,19,24,13,10,30,11,16,21,23,40,18,11,63,409,112,127,170,378,97,113,169,409,133,89,187,409,67,342
