question,question_choice,gender_all,male,female,age_all,18-24,25-34,35-44,45-54,55-64,65+,ageXgender_all,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,M 65+,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,F65+,state_all,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,region_all,Northeast,Midwest,South,West,income_all,"Under $5,000 per year","$5,000 to $9,999 per year","$10,000 to $14,999 per year","$15,000 to $19,999 per year","$20,000 to $24,999 per year","$25,000 to $29,999 per year","$30,000 to $34,999 per year","$35,000 to $39,999 per year","$40,000 to $44,999 per year","$45,000 to $49,999 per year","$50,000 to $54,999 per year","$55,000 to $59,999 per year","$60,000 to $69,999 per year","$70,000 to $79,999 per year","$80,000 to $99,999 per year","$100,000 to $149,999 per year","$150,000 and over",Don’t know,Prefer not to answer,segA_all,News Lovers,Daily Briefers,Casual Users,segB_all,Digitalist,Traditionalist,Half and Half,segC_all,Positive participator,Reactive participator,Passive consumer,segD_all,Engaged public,Not Engaged public
How are individual decisions abut what news to show people on Facebook made,At random,167,84,83,167,18,40,27,26,37,20,167,8,19,16,14,16,12,10,21,11,12,21,8,167,2,-,7,1,18,2,-,1,3,14,5,-,1,9,6,2,1,2,5,3,3,3,2,2,1,1,-,2,1,2,4,-,13,7,-,3,1,-,8,1,1,1,3,9,2,-,5,4,-,6,-,167,34,35,63,34,167,11,4,9,20,11,10,10,5,5,6,9,1,8,12,13,11,3,6,13,167,27,73,67,159,32,61,66,167,71,38,58,167,16,150
How are individual decisions abut what news to show people on Facebook made,Incorrect,1708,805,903,1708,186,296,290,240,364,333,1708,95,118,153,118,174,148,91,178,137,122,191,185,1708,35,4,52,13,177,39,11,6,10,136,50,1,15,62,39,16,13,35,20,8,34,27,44,24,10,30,11,5,18,11,45,10,129,47,2,65,15,21,90,7,26,3,36,118,15,2,46,28,8,39,3,1708,331,341,643,393,1708,81,59,86,96,104,100,86,75,60,67,92,50,77,93,96,120,61,76,231,1708,391,579,739,1568,321,566,681,1708,494,347,867,1708,193,1515
Best describes financial performance of newspaper websites and apps,Most of them make a loss  (Correct),271,165,106,271,31,50,59,36,57,37,271,16,29,43,20,34,22,14,22,17,16,23,15,271,5,1,10,1,41,7,2,-,3,15,8,1,-,10,3,5,3,6,4,-,8,4,3,7,2,4,-,-,3,-,6,2,17,4,-,12,1,6,12,2,-,-,5,25,3,-,11,6,1,4,-,271,43,49,99,79,271,15,7,16,13,12,8,10,12,9,11,14,9,14,20,16,25,22,16,22,271,106,86,79,260,75,77,109,271,119,71,82,271,68,203
Best describes financial performance of newspaper websites and apps,Most of them make a profit,673,346,327,673,86,121,113,85,148,121,673,47,61,58,51,71,58,39,59,55,34,77,63,673,13,1,19,4,61,13,9,1,3,53,28,-,8,27,14,6,2,14,7,1,8,8,22,11,4,22,3,3,6,3,18,3,36,17,1,33,7,11,34,2,13,2,14,51,7,1,22,7,2,16,-,673,112,161,261,140,673,27,20,34,28,39,37,35,35,33,35,45,28,36,36,54,48,27,13,65,673,186,262,225,655,177,190,288,673,263,155,255,673,94,580
Best describes financial performance of newspaper websites and apps,Most of them just cover their costs,504,278,227,504,48,109,93,78,94,82,504,26,57,62,43,46,44,22,52,31,35,48,38,504,7,3,23,6,68,13,4,2,4,33,13,1,5,22,12,8,4,10,1,3,5,5,16,6,2,7,2,2,8,2,14,1,39,6,1,15,5,7,28,-,4,-,5,41,2,1,16,7,1,14,1,504,95,107,161,141,504,18,20,16,25,18,22,20,16,20,24,30,14,23,34,48,56,30,17,55,504,172,183,149,492,177,113,201,504,213,125,166,504,103,401
Best describes financial performance of newspaper websites and apps,Incorrect,2128,1027,1101,2128,243,397,382,297,436,372,2128,130,170,195,159,209,164,113,227,188,139,227,208,2128,40,6,59,18,224,51,21,7,13,161,58,1,20,82,47,21,17,43,18,8,33,36,68,28,12,43,14,9,24,13,53,12,144,55,3,82,19,27,115,8,34,4,38,163,17,3,56,38,10,49,4,2128,400,452,778,498,2128,91,69,95,109,123,123,100,93,82,86,125,61,97,118,147,168,88,77,276,2128,519,755,854,1978,552,591,835,2128,652,458,1018,2128,272,1856
Overall News literacy,0 correct,873,376,497,873,135,195,173,113,145,113,873,69,75,92,45,55,40,66,120,81,67,90,73,873,21,1,22,6,107,20,6,3,2,65,18,-,6,29,15,7,6,17,12,5,18,15,21,9,5,15,6,3,8,4,21,5,70,27,1,31,7,7,47,6,17,2,18,65,9,2,31,11,3,17,2,873,178,156,335,203,873,61,36,47,57,55,60,43,37,25,32,40,21,33,35,39,53,20,61,119,873,123,279,471,749,119,289,342,873,205,143,525,873,46,827
Overall News literacy,1 correct,719,363,356,719,73,108,118,93,173,155,719,42,47,57,53,95,69,31,61,60,41,77,86,719,11,2,20,6,58,14,4,2,5,62,28,1,6,24,17,6,8,17,9,3,13,12,22,14,6,14,4,2,8,5,22,4,47,15,1,32,6,12,44,1,8,1,10,57,6,-,14,19,4,16,-,719,137,156,273,153,719,33,17,42,34,42,38,33,39,30,31,45,21,37,45,43,60,28,17,85,719,194,263,262,695,155,247,294,719,249,173,297,719,91,628
Overall News literacy,2 correct,508,274,234,508,45,92,83,66,114,107,508,24,42,51,40,58,58,21,50,32,27,55,50,508,9,3,19,4,66,11,8,1,3,33,16,-,6,23,14,7,4,11,2,-,5,8,14,6,3,10,1,3,8,3,10,3,29,10,1,24,4,8,22,1,7,1,13,37,2,-,14,7,3,11,1,508,80,117,176,135,508,7,9,16,24,26,26,24,16,25,24,38,21,27,37,44,43,29,10,63,508,183,182,142,499,180,105,213,508,183,136,189,508,112,396
Overall News literacy,All 3correct,299,179,120,299,21,53,68,61,62,34,299,12,35,36,41,35,19,10,18,31,20,27,14,299,5,2,8,2,35,12,5,1,6,16,4,1,3,14,4,6,2,5,-,-,4,6,14,6,-,8,2,1,4,1,6,2,15,7,-,8,2,6,14,2,2,-,2,29,3,1,8,7,1,8,1,299,48,72,94,85,299,4,14,6,7,13,6,9,13,12,10,16,7,15,22,37,37,33,5,31,299,124,117,59,295,173,28,95,299,133,77,88,299,90,209
Overall News literacy,0-1 correct,1592,739,853,1592,208,303,291,206,318,267,1592,111,121,150,98,150,109,97,181,141,108,167,159,1592,32,3,42,12,164,34,10,5,6,127,46,1,11,54,32,13,14,34,21,8,31,27,43,24,11,29,11,5,16,9,43,9,117,42,2,63,14,19,91,7,25,3,28,121,15,2,46,30,7,33,2,1592,315,313,608,356,1592,95,53,89,90,96,98,77,76,55,63,85,42,69,79,83,114,48,78,204,1592,318,542,732,1445,274,536,635,1592,454,316,822,1592,137,1455
Overall News literacy,2-3 correct,806,452,354,806,67,145,151,127,175,141,806,36,78,88,81,93,77,31,67,63,46,82,64,806,14,5,27,7,101,23,13,2,9,49,19,1,9,38,18,14,6,16,2,-,9,14,28,11,3,18,3,4,12,4,16,5,44,17,1,31,6,14,35,3,9,1,15,66,5,1,21,13,4,20,2,806,128,189,269,220,806,11,23,22,31,39,32,33,29,37,34,54,28,42,59,81,80,62,15,94,806,307,299,201,794,353,132,308,806,316,213,277,806,202,604
